Player Name,Fan Count
LeBron James,158.0M
Stephen Curry,58.4M
Russell Westbrook,22.5M
Kyrie Irving,20.3M
Lonzo Ball,17.7M
Klay Thompson,16.7M
Giannis Antetokounmpo,16.0M
Kevin Durant,13.7M
Chris Paul,11.5M
Luka Doncic,10.8M
LaMelo Ball,10.6M
Jimmy Butler,10.0M
Damian Lillard,9.9M
Paul George,9.6M
Ja Morant,9.4M
Bronny James,7.6M
Jayson Tatum,7.3M
Joel Embiid,7.2M
Anthony Davis,6.9M
Devin Booker,5.5M
Dennis Schröder,5.5M
Victor Wembanyama,5.1M
Anthony Edwards,5.1M
Trae Young,5.0M
Zion Williamson,4.9M
Shai Gilgeous-Alexander,4.8M
Kyle Kuzma,4.6M
Karl-Anthony Towns,4.4M
Draymond Green,4.1M
Jaylen Brown,4.0M
Donovan Mitchell,3.9M
D'Angelo Russell,3.7M
Kevin Love,3.5M
DeMar DeRozan,3.2M
Jalen Green,2.4M
Tyrese Haliburton,2.3M
Jordan Poole,2.3M
Zach LaVine,2.2M
Tyler Herro,2.2M
Brandon Ingram,2.1M
Curtis Jones,2.1M
Andrew Wiggins,2.1M
Jordan Clarkson,2.1M
Seth Curry,2.0M
Jared McCain,2.0M
DeAndre Jordan,1.8M
Cooper Flag,1.7M
Kristaps Porzingis,1.6M
Austin Reaves,1.5M
De'Aaron Fox,1.5M
Alex Caruso,1.4M
Dejounte Murray,1.4M
Kyle Lowry,1.3M
Kelly Oubre, Jr.,1.3M
Aaron Gordon,1.3M
Alperen Sengun,1.3M
Jamal Murray,1.3M
Kentavious Caldwell-Pope,1.3M
Bradley Beal,1.3M
Andre Drummond,1.3M
C.J. McCollum,1.2M
Paolo Banchero,1.1M
Bam Adebayo,1.1M
Rob Dillingham,1.1M
Brandon Williams,1.1M
R.J. Barrett,1.1M
Rui Hachimura,1.0M
Jalen Brunson,1.0M
Josh Hart,1.0M
Julius Randle,1.0M
Harrison Barnes,968.8K
Cade Cunningham,966.1K
Chet Holmgren,950.3K
Tyrese Maxey,930.3K
R.J. Washington,863.7K
Jrue Holiday,863.5K
Pascal Siakam,851.4K
Bogdan Bogdanovic,841.3K
Alex Antetokounmpo,834.8K
Rudy Gobert,827.2K
Scottie Barnes,804.0K
Marcus Smart,802.9K
Sharif Cooper,791.5K
Al Horford,769.2K
Michael Porter, Jr.,756.5K
Buddy Hield,686.0K
Gary Payton II,653.4K
Gui Santos,650.8K
Steven Adams,649.8K
Jonathan Kuminga,637.2K
Fred VanVleet,632.4K
Cole Anthony,630.6K
Clint Capela,600.4K
Mike Conley,582.4K
Jaren Jackson, Jr.,582.1K
Miles Bridges,581.0K
Darius Garland,580.2K
Malik Monk,540.3K
Jalen Williams,540.1K
Deandre Ayton,514.9K
Terry Rozier,512.9K
Payton Pritchard,508.5K
V.J. Edgecombe,508.1K
Josh Giddey,506.8K
Amen Thompson,495.6K
Tim Hardaway Jr.,493.7K
Jarred Vanderbilt,493.3K
Mikal Bridges,493.2K
Kevin Porter, Jr.,484.6K
Scottie Pippen, Jr.,483.0K
Marvin Bagley III,475.4K
Lauri Markkanen,468.4K
Jonathan Isaac,467.5K
Dylan Harper,447.6K
Jalen Suggs,444.4K
Tobias Harris,442.9K
Scoot Henderson,437.1K
Myles Turner,434.1K
Kevon Looney,432.6K
Jeremy Sochan,431.2K
Derrick White,413.3K
Larry Nance, Jr.,404.6K
Bones Hyland,400.2K
Khris Middleton,397.7K
Tyus Jones,395.6K
Coby White,392.7K
Jaime Jaquez, Jr.,392.5K
Jusuf Nurkic,389.0K
Derrick Jones,385.7K
Obi Toppin,380.5K
Jaden Hardy,377.6K
Gradey Dick,376.5K
Domantas Sabonis,368.4K
Grayson Allen,365.6K
OG Anunoby,361.4K
Jaxson Hayes,359.1K
Dalton Knecht,354.1K
Naz Reid,349.5K
Norman Powell,346.3K
Ausar Thompson,342.6K
Tre Mann,326.4K
Deni Avdija,321.9K
Franz Wagner,318.9K
Moe Wagner,311.1K
Bobby Portis,306.0K
Luguentz Dort,302.9K
Nicolas Batum,301.2K
Matisse Thybulle,300.2K
Stephon Castle,297.3K
J.D. Davison,292.7K
Player Name,Fan Count
Ace Bailey,286.7K
Matas Buzelis,285.7K
Max Christie,283.5K
Tre Jones,278.5K
Jonas Valanciunas,277.4K
Brandin Podziemski,276.9K
Jarrett Allen,276.4K
Quentin Grimes,275.9K
Grant Williams,272.9K
Duncan Robinson,272.2K
Immanuel Quickley,267.7K
Derek Lively II,261.4K
Desmond Bane,258.7K
Evan Mobley,258.5K
Dillon Brooks,253.1K
Mitchell Robinson,252.6K
Christian Braun,251.7K
Brandon Miller,247.9K
Jaylin Williams,247.2K
Nikola Jovic,246.7K
Moses Moody,239.3K
Cameron Johnson,239.3K
Cam Thomas,238.5K
Gary Trent, Jr.,237.1K
Eric Gordon,234.5K
Isaiah Hartenstein,228.8K
Taurean Prince,228.1K
Jaden Ivey,226.3K
Caris LeVert,225.4K
Andrew Nembhard,224.4K
Anfernee Simons,223.4K
Doug McDermott,220.0K
Bennedict Mathurin,219.6K
Robert Williams,218.9K
Davion Mitchell,216.2K
Jalen Duren,210.5K
Jerami Grant,210.3K
Jake LaRavia,205.4K
Nickeil Alexander-Walker,204.9K
Caleb Martin,204.6K
Dante Exum,203.1K
Ayo Dosunmu,202.5K
Reed Sheppard,200.1K
Hansen Yang,196.8K
Simone Fontecchio,196.6K
T.J. McConnell,196.2K
Luke Kennard,195.9K
Jalen Johnson,194.8K
Shaedon Sharpe,194.3K
Neemias Queta,190.0K
Jeremiah Fears,189.5K
Precious Achiuwa,186.6K
Anthony Black,186.0K
Miles McBride,184.9K
John Collins,183.5K
Guerschon Yabusele,182.0K
Gabe Vincent,181.1K
Josh Green,180.7K
Keyonte George,180.3K
Jabari Smith, Jr.,177.7K
Kyle Anderson,176.8K
Chris Boucher,175.0K
Dyson Daniels,174.8K
Pat Connaughton,174.6K
Jaden McDaniels,173.5K
A.J. Johnson,172.3K
Kelly Olynyk,171.2K
Ivica Zubac,170.8K
Tyler Kolek,167.8K
Isaac Okoro,165.8K
Daniel Gafford,165.4K
Keldon Johnson,165.3K
