Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_x_Age,Rk_x_G,Rk_x_GS,Rk_x_MP,Age_x_G,Age_x_GS,Age_x_MP,G_x_GS,G_x_MP,pca_1,pca_2,pca_3,pca_4,pca_5
2.0,Santi Aldama,PF,22.0,MEM,6.0,0.0,16.8,2.5,5.5,0.455,1.2,2.5,0.467,1.3,3.0,0.444,0.561,0.3,0.3,1.0,1.2,3.2,4.3,1.2,0.5,0.0,0.3,0.8,6.5,44.0,12.0,0.0,33.6,132.0,0.0,369.6,0.0,100.80000000000001,3.09554741215048,-2.048385604929798,-2.6351487650197867,-1.9244621495381211,1.09129907167179
3.0,Nickeil Alexander-Walker,SG,24.0,MIN,5.0,4.0,29.6,3.0,7.0,0.429,2.0,5.0,0.4,1.0,2.0,0.5,0.571,0.4,0.6,0.667,0.2,1.8,2.0,1.4,0.6,0.2,0.8,1.8,8.4,72.0,15.0,12.0,88.80000000000001,120.0,96.0,710.4000000000001,20.0,148.0,4.808362725207418,-2.5937042409674222,-2.8002995087494464,-1.664994345375922,1.3652310005089177
4.0,Grayson Allen,SG,27.0,MIL,5.0,5.0,29.8,3.8,8.2,0.463,2.8,5.8,0.483,1.0,2.4,0.417,0.634,1.2,1.4,0.857,0.2,2.2,2.4,1.8,0.4,0.0,0.8,1.4,11.6,108.0,20.0,20.0,119.2,135.0,135.0,804.6,25.0,149.0,-2.7129678232073977,-1.6028145235025657,-0.13654676428229817,-2.556887155045132,-0.7312758971034542
16.0,Malik Beasley,SG,26.0,LAL,11.0,0.0,8.3,0.9,3.1,0.294,0.6,2.4,0.269,0.3,0.7,0.375,0.397,0.5,0.5,1.0,0.3,0.5,0.7,0.2,0.1,0.0,0.2,0.5,3.0,416.0,176.0,0.0,132.8,286.0,0.0,215.8,0.0,91.30000000000001,0.9808571820699351,-3.0562222516921302,-0.44019353007771034,0.36840082278333613,0.7550820337103314
18.0,Saddiq Bey,SF,23.0,ATL,6.0,0.0,22.2,2.5,6.7,0.375,1.2,3.0,0.389,1.3,3.7,0.364,0.463,1.3,1.5,0.889,1.2,2.8,4.0,1.0,0.5,0.0,0.3,0.5,7.5,414.0,108.0,0.0,399.59999999999997,138.0,0.0,510.59999999999997,0.0,133.2,2.3864833877277913,-0.6324370781484595,0.23579671919520653,-1.809400441269432,0.031683957368711074
23.0,Christian Braun,SG,21.0,DEN,19.0,0.0,13.0,1.3,2.4,0.533,0.1,0.5,0.2,1.2,1.8,0.629,0.556,0.6,1.0,0.579,0.6,1.4,2.1,0.6,0.6,0.2,0.5,1.5,3.2,483.0,437.0,0.0,299.0,399.0,0.0,273.0,0.0,247.0,5.644025037571794,0.001712844341616699,-2.7606306544260044,-0.4710562483382315,0.2593692847011791
25.0,Malcolm Brogdon,PG,30.0,BOS,19.0,0.0,24.9,4.3,10.3,0.418,1.7,4.6,0.379,2.6,5.7,0.45,0.503,1.5,1.8,0.829,0.7,2.8,3.5,2.9,0.2,0.3,1.0,1.5,11.9,750.0,475.0,0.0,622.5,570.0,0.0,747.0,0.0,473.09999999999997,-2.2293864715541747,0.2643026650468586,-1.1799022139319428,-1.4079941426616007,0.9686771793953497
26.0,Dillon Brooks,SF,27.0,MEM,6.0,6.0,27.8,4.0,12.8,0.312,1.7,7.0,0.238,2.3,5.8,0.4,0.377,0.8,1.2,0.714,0.5,2.5,3.0,1.8,0.2,0.0,1.2,3.3,10.5,702.0,156.0,156.0,722.8000000000001,162.0,162.0,750.6,36.0,166.8,1.1453260449510017,1.04618237599998,3.9305139581280972,-2.375115339532891,-0.06253705974149998
27.0,Bruce Brown,SF,26.0,DEN,20.0,0.0,26.5,4.5,8.8,0.511,0.9,2.9,0.316,3.6,6.0,0.605,0.563,2.1,2.5,0.857,0.8,3.3,4.0,1.9,1.1,0.5,1.2,2.5,12.0,702.0,540.0,0.0,715.5,520.0,0.0,689.0,0.0,530.0,3.8429844849777854,1.8651192728219521,-1.855688391958932,-2.3584317676908086,-1.1341840370062533
29.0,Troy Brown Jr.,SF,23.0,LAL,12.0,0.0,10.3,0.8,2.3,0.357,0.2,1.3,0.133,0.7,1.1,0.615,0.393,0.0,0.0,0.0,0.3,1.7,2.0,0.9,0.2,0.1,0.0,0.3,1.8,667.0,348.0,0.0,298.70000000000005,276.0,0.0,236.9,0.0,123.60000000000001,-3.1144413877958894,0.2665449016538524,1.2781269758909006,-2.0565913570485237,-0.004221360619695563
36.0,Jevon Carter,PG,27.0,MIL,4.0,0.0,12.3,0.5,2.3,0.222,0.3,1.8,0.143,0.3,0.5,0.5,0.278,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3,0.0,0.0,0.3,1.3,972.0,144.0,0.0,442.8,108.0,0.0,332.1,0.0,49.2,-3.6296095096018965,-0.06024408750049413,1.0057724168054514,0.21260389744608707,1.8791491956657556
