Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_x_Age,Rk_x_G,Rk_x_GS,Rk_x_MP,Age_x_G,Age_x_GS,Age_x_MP,G_x_GS,G_x_MP,pca_1,pca_2,pca_3,pca_4,pca_5
3.0,Ochai Agbaji,SG,23.0,TOT,78.0,28.0,21.0,2.3,5.6,0.411,0.8,2.7,0.294,1.5,2.8,0.523,0.483,0.5,0.7,0.661,0.9,1.8,2.8,1.1,0.6,0.6,0.8,1.5,5.8,69.0,234.0,84.0,63.0,1794.0,644.0,483.0,2184.0,1638.0,1.6770939468716448,-1.0100258030489437,-3.209587434920657,-0.5473223539145389,1.4726479454736445
3.0,Ochai Agbaji,SG,23.0,UTA,51.0,10.0,19.7,2.1,4.9,0.426,0.9,2.8,0.331,1.2,2.1,0.551,0.52,0.3,0.4,0.75,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4,69.0,153.0,30.0,59.099999999999994,1173.0,230.0,453.09999999999997,510.0,1004.6999999999999,4.292042267520858,-8.42497013157673,2.4643524263314416,1.906583953835324,0.6099790644016306
3.0,Ochai Agbaji,SG,23.0,TOR,27.0,18.0,23.6,2.7,6.8,0.391,0.6,2.6,0.217,2.1,4.3,0.496,0.432,0.8,1.3,0.611,1.4,1.9,3.3,1.3,0.7,0.6,1.1,1.9,6.7,69.0,81.0,54.0,70.80000000000001,621.0,414.0,542.8000000000001,486.0,637.2,-5.839767216295844,-2.6216220902692124,-2.036956850602529,-1.242691096257492,-2.4719241788976536
5.0,Nickeil Alexander-Walker,SG,25.0,MIN,82.0,20.0,23.4,2.9,6.6,0.439,1.6,4.1,0.391,1.3,2.5,0.517,0.56,0.6,0.8,0.8,0.4,1.6,2.0,2.5,0.8,0.5,0.9,1.7,8.0,125.0,410.0,100.0,117.0,2050.0,500.0,585.0,1640.0,1918.8,5.046576921877204,-4.823944868705396,-1.7245266524769487,-1.9487302878057777,0.8305352718448484
9.0,Jose Alvarado,PG,25.0,NOP,56.0,0.0,18.4,2.5,6.2,0.412,1.4,3.7,0.377,1.1,2.5,0.464,0.525,0.6,0.9,0.673,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.6,7.1,225.0,504.0,0.0,165.6,1400.0,0.0,459.99999999999994,0.0,1030.3999999999999,-0.7804242158156144,-1.8040111726236334,-1.5902880400000243,1.2797462521408973,-0.6856675680804633
20.0,Marvin Bagley III,C,24.0,DET,26.0,10.0,18.4,4.1,7.0,0.591,0.0,0.2,0.167,4.1,6.7,0.606,0.594,1.9,2.3,0.82,1.8,2.8,4.5,1.0,0.2,0.5,1.1,1.5,10.2,480.0,520.0,200.0,368.0,624.0,240.0,441.59999999999997,260.0,478.4,2.8357062678880536,-2.7907177249001562,-2.557931576097582,-2.138438063949441,3.3004231807739033
21.0,Amari Bailey,PG,19.0,CHO,10.0,0.0,6.5,0.8,2.4,0.333,0.1,0.8,0.125,0.7,1.6,0.438,0.354,0.6,0.7,0.857,0.6,0.3,0.9,0.7,0.3,0.0,0.4,0.2,2.3,399.0,210.0,0.0,136.5,190.0,0.0,123.5,0.0,65.0,-1.7815916813898722,-2.922921542010281,-1.133983310320145,-0.36775852504697115,-0.5749841436328713
22.0,Patrick Baldwin Jr.,SF,21.0,WAS,38.0,7.0,13.0,1.6,4.1,0.381,0.8,2.6,0.32,0.7,1.5,0.483,0.481,0.5,0.7,0.679,0.4,2.8,3.2,0.8,0.5,0.4,0.5,1.5,4.4,462.0,836.0,154.0,286.0,798.0,147.0,273.0,266.0,494.0,1.4257692769894295,-3.2933782110477865,0.44717424217341506,2.6524636081288677,1.5222202234449345
27.0,Dalano Banton,PG,24.0,TOT,54.0,9.0,19.4,3.7,9.3,0.404,1.1,3.7,0.296,2.6,5.6,0.475,0.463,1.7,2.2,0.783,0.8,2.5,3.3,2.4,0.6,0.4,1.4,1.2,10.3,648.0,1458.0,243.0,523.8,1296.0,216.0,465.59999999999997,486.0,1047.6,9.6253673961874,-3.539514149237082,-1.8432462635169544,0.649004977522127,-1.4660071023752936
27.0,Dalano Banton,PG,24.0,BOS,24.0,1.0,7.1,0.8,2.1,0.373,0.1,0.7,0.125,0.7,1.5,0.486,0.392,0.7,0.8,0.8,0.5,1.0,1.5,0.8,0.2,0.1,0.4,0.8,2.3,648.0,648.0,27.0,191.7,576.0,24.0,170.39999999999998,24.0,170.39999999999998,9.153772600819396,-5.4612363838080284,-1.042432409279196,-1.1094453619721432,0.34748146672134267
