G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,G_x_Unnamed: 3,G_x_Tm,G_x_Opp,G_x_W,Unnamed: 3_x_Tm,Unnamed: 3_x_Opp,Unnamed: 3_x_W,Tm_x_Opp,Tm_x_W
1,Wed Oct 19 2022,7:30p,,Box Score,,Chicago Bulls,L,,108,116,0,1,L 1,19600,2:20,,,108,116,0,,,,12528,0
2,Fri Oct 21 2022,7:30p,,Box Score,,Boston Celtics,L,,104,111,0,2,L 2,19600,2:10,,,208,222,0,,,,11544,0
3,Sat Oct 22 2022,8:00p,,Box Score,,Toronto Raptors,W,,112,109,1,2,W 1,19600,2:29,,,336,327,3,,,,12208,112
4,Mon Oct 24 2022,7:30p,,Box Score,,Toronto Raptors,L,,90,98,1,3,L 1,19600,2:13,,,360,392,4,,,,8820,90
5,Wed Oct 26 2022,10:00p,,Box Score,@,Portland Trail Blazers,W,,119,98,2,3,W 1,18588,2:03,,,595,490,10,,,,11662,238
6,Thu Oct 27 2022,10:00p,,Box Score,@,Golden State Warriors,L,,110,123,2,4,L 1,18064,2:04,,,660,738,12,,,,13530,220
7,Sat Oct 29 2022,6:00p,,Box Score,@,Sacramento Kings,L,,113,119,2,5,L 2,14618,2:31,,,791,833,14,,,,13447,226
8,Tue Nov 1 2022,7:30p,,Box Score,,Golden State Warriors,W,,116,109,3,5,W 1,19600,2:22,,,928,872,24,,,,12644,348
9,Wed Nov 2 2022,7:30p,,Box Score,,Sacramento Kings,W,,110,107,4,5,W 2,19600,2:13,,,990,963,36,,,,11770,440
10,Fri Nov 4 2022,7:00p,,Box Score,@,Indiana Pacers,L,,99,101,4,6,L 1,13141,2:22,,,990,1010,40,,,,9999,396
11,Mon Nov 7 2022,8:30p,,Box Score,,Portland Trail Blazers,L,,107,110,4,7,L 2,19600,2:11,,,1177,1210,44,,,,11770,428
12,Thu Nov 10 2022,7:30p,,Box Score,,Charlotte Hornets,W,OT,117,112,5,7,W 1,19600,2:39,,,1404,1344,60,,,,13104,585
13,Sat Nov 12 2022,8:00p,,Box Score,,Charlotte Hornets,W,,132,115,6,7,W 2,19600,2:09,,,1716,1495,78,,,,15180,792
14,Mon Nov 14 2022,7:30p,,Box Score,,Phoenix Suns,W,,113,112,7,7,W 3,19600,2:09,,,1582,1568,98,,,,12656,791
15,Wed Nov 16 2022,7:30p,,Box Score,@,Toronto Raptors,L,,104,112,7,8,L 1,19800,2:16,,,1560,1680,105,,,,11648,728
16,Fri Nov 18 2022,7:00p,,Box Score,@,Washington Wizards,L,OT,106,107,7,9,L 2,18772,2:31,,,1696,1712,112,,,,11342,742
