G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,G_x_Unnamed: 3,G_x_Tm,G_x_Opp,G_x_W,Unnamed: 3_x_Tm,Unnamed: 3_x_Opp,Unnamed: 3_x_W,Tm_x_Opp,Tm_x_W
1,Wed Oct 19 2022,9:00p,,Box Score,,Denver Nuggets,W,,123,102,1,0,W 1,18206.0,2:15,,,123,102,1,,,,12546,123
2,Fri Oct 21 2022,8:00p,,Box Score,@,Minnesota Timberwolves,W,OT,132,126,2,0,W 2,17136.0,2:37,,,264,252,4,,,,16632,264
3,Sun Oct 23 2022,7:00p,,Box Score,@,New Orleans Pelicans,W,OT,122,121,3,0,W 3,18665.0,2:31,,,366,363,9,,,,14762,366
4,Mon Oct 24 2022,8:00p,,Box Score,@,Houston Rockets,L,,108,114,3,1,L 1,16260.0,2:14,,,432,456,12,,,,12312,324
5,Wed Oct 26 2022,9:00p,,Box Score,,Houston Rockets,W,,109,101,4,1,W 1,18206.0,2:20,,,545,505,20,,,,11009,436
6,Fri Oct 28 2022,9:00p,,Box Score,@,Denver Nuggets,L,,101,117,4,2,L 1,19560.0,2:07,,,606,702,24,,,,11817,404
7,Sat Oct 29 2022,9:00p,,Box Score,,Memphis Grizzlies,W,,124,123,5,2,W 1,18206.0,2:14,,,868,861,35,,,,15252,620
8,Mon Oct 31 2022,9:00p,,Box Score,,Memphis Grizzlies,W,,121,105,6,2,W 2,18206.0,2:16,,,968,840,48,,,,12705,726
9,Wed Nov 2 2022,8:30p,,Box Score,@,Dallas Mavericks,L,,100,103,6,3,L 1,19877.0,2:07,,,900,927,54,,,,10300,600
10,Fri Nov 4 2022,10:30p,,Box Score,@,Los Angeles Lakers,W,,130,116,7,3,W 1,18997.0,2:09,,,1300,1160,70,,,,15080,910
11,Sun Nov 6 2022,10:00p,,Box Score,@,Los Angeles Clippers,W,,110,102,8,3,W 2,16111.0,2:12,,,1210,1122,88,,,,11220,880
12,Mon Nov 7 2022,10:15p,,Box Score,,Los Angeles Lakers,W,,139,116,9,3,W 3,18206.0,2:12,,,1668,1392,108,,,,16124,1251
13,Wed Nov 9 2022,7:30p,,Box Score,@,Atlanta Hawks,W,,125,119,10,3,W 4,15845.0,2:02,,,1625,1547,130,,,,14875,1250
14,Sat Nov 12 2022,6:00p,,Box Score,@,Washington Wizards,L,,112,121,10,4,L 1,13673.0,2:07,,,1568,1694,140,,,,13552,1120
15,Sun Nov 13 2022,7:30p,,Box Score,@,Philadelphia 76ers,L,,98,105,10,5,L 2,19761.0,2:21,,,1470,1575,150,,,,10290,980
16,Tue Nov 15 2022,9:00p,,Box Score,,New York Knicks,L,,111,118,10,6,L 3,18206.0,2:11,,,1776,1888,160,,,,13098,1110
17,Fri Nov 18 2022,9:00p,,Box Score,,Phoenix Suns,W,,134,133,11,6,W 1,18206.0,2:16,,,2278,2261,187,,,,17822,1474
18,Sat Nov 19 2022,10:00p,,Box Score,@,Portland Trail Blazers,W,,118,113,12,6,W 2,19595.0,2:18,,,2124,2034,216,,,,13334,1416
19,Mon Nov 21 2022,10:30p,,Box Score,@,Los Angeles Clippers,L,,114,121,12,7,L 1,19068.0,2:13,,,2166,2299,228,,,,13794,1368
20,Wed Nov 23 2022,9:00p,,Box Score,,Detroit Pistons,L,,116,125,12,8,L 2,18206.0,2:08,,,2320,2500,240,,,,14500,1392
21,Fri Nov 25 2022,10:00p,,Box Score,@,Golden State Warriors,L,,118,129,12,9,L 3,18064.0,2:06,,,2478,2709,252,,,,15222,1416
22,Sat Nov 26 2022,9:00p,,Box Score,@,Phoenix Suns,L,,112,113,12,10,L 4,17071.0,2:06,,,2464,2486,264,,,,12656,1344
23,Mon Nov 28 2022,9:00p,,Box Score,,Chicago Bulls,L,,107,114,12,11,L 5,18206.0,2:07,,,2461,2622,276,,,,12198,1284
24,Wed Nov 30 2022,9:00p,,Box Score,,Los Angeles Clippers,W,,125,112,13,11,W 1,18206.0,2:19,,,3000,2688,312,,,,14000,1625
25,Fri Dec 2 2022,9:00p,,Box Score,,Indiana Pacers,W,,139,119,14,11,W 2,18206.0,2:28,,,3475,2975,350,,,,16541,1946
26,Sat Dec 3 2022,9:00p,,Box Score,,Portland Trail Blazers,L,,111,116,14,12,L 1,18206.0,2:15,,,2886,3016,364,,,,12876,1554
27,Wed Dec 7 2022,9:00p,,Box Score,,Golden State Warriors,W,,124,123,15,12,W 1,18206.0,2:16,,,3348,3321,405,,,,15252,1860
28,Fri Dec 9 2022,9:00p,,Box Score,,Minnesota Timberwolves,L,,108,118,15,13,L 1,18206.0,2:08,,,3024,3304,420,,,,12744,1620
29,Sat Dec 10 2022,9:00p,,Box Score,@,Denver Nuggets,L,,110,115,15,14,L 2,19636.0,2:07,,,3190,3335,435,,,,12650,1650
30,Tue Dec 13 2022,9:00p,,Box Score,,New Orleans Pelicans,W,,121,100,16,14,W 1,18206.0,2:14,,,3630,3000,480,,,,12100,1936
31,Thu Dec 15 2022,9:00p,,Box Score,,New Orleans Pelicans,W,OT,132,129,17,14,W 2,18206.0,2:48,,,4092,3999,527,,,,17028,2244
32,Sat Dec 17 2022,8:00p,,Box Score,@,Milwaukee Bucks,L,,97,123,17,15,L 1,17587.0,1:56,,,3104,3936,544,,,,11931,1649
33,Mon Dec 19 2022,7:00p,,Box Score,@,Cleveland Cavaliers,L,,99,122,17,16,L 2,19432.0,2:06,,,3267,4026,561,,,,12078,1683
34,Tue Dec 20 2022,7:00p,,Box Score,@,Detroit Pistons,W,,126,111,18,16,W 1,15622.0,2:06,,,4284,3774,612,,,,13986,2268
35,Thu Dec 22 2022,9:00p,,Box Score,,Washington Wizards,W,,120,112,19,16,W 2,18206.0,2:06,,,4200,3920,665,,,,13440,2280
36,Mon Dec 26 2022,8:00p,,Box Score,@,San Antonio Spurs,L,,122,126,19,17,L 1,16351.0,2:18,,,4392,4536,684,,,,15372,2318
37,Wed Dec 28 2022,10:00p,,Box Score,@,Golden State Warriors,L,,107,112,19,18,L 2,18064.0,2:18,,,3959,4144,703,,,,11984,2033
38,Fri Dec 30 2022,10:00p,,Box Score,@,Sacramento Kings,L,,125,126,19,19,L 3,17946.0,2:19,,,4750,4788,722,,,,15750,2375
39,Sat Dec 31 2022,9:00p,,Box Score,,Miami Heat,L,,123,126,19,20,L 4,18206.0,2:26,,,4797,4914,741,,,,15498,2337
40,Tue Jan 3 2023,9:00p,,Box Score,,Sacramento Kings,L,,115,117,19,21,L 5,18206.0,2:17,,,4600,4680,760,,,,13455,2185
41,Thu Jan 5 2023,8:00p,,Box Score,@,Houston Rockets,W,,131,114,20,21,W 1,16320.0,2:08,,,5371,4674,820,,,,14934,2620
42,Sat Jan 7 2023,8:00p,,Box Score,@,Chicago Bulls,L,,118,126,20,22,L 1,21694.0,2:12,,,4956,5292,840,,,,14868,2360
43,Sun Jan 8 2023,6:00p,,Box Score,@,Memphis Grizzlies,L,,118,123,20,23,L 2,17794.0,2:15,,,5074,5289,860,,,,14514,2360
44,Tue Jan 10 2023,9:00p,,Box Score,,Cleveland Cavaliers,W,,116,114,21,23,W 1,18206.0,2:27,,,5104,5016,924,,,,13224,2436
45,Fri Jan 13 2023,9:00p,,Box Score,,Orlando Magic,W,,112,108,22,23,W 2,18206.0,2:22,,,5040,4860,990,,,,12096,2464
46,Sat Jan 14 2023,9:00p,,Box Score,,Philadelphia 76ers,L,,117,118,22,24,L 1,18206.0,2:15,,,5382,5428,1012,,,,13806,2574
47,Mon Jan 16 2023,4:00p,,Box Score,@,Minnesota Timberwolves,W,,126,125,23,24,W 1,16477.0,2:14,,,5922,5875,1081,,,,15750,2898
48,Wed Jan 18 2023,9:00p,,Box Score,,Los Angeles Clippers,W,,126,103,24,24,W 2,18206.0,2:11,,,6048,4944,1152,,,,12978,3024
49,Fri Jan 20 2023,9:00p,,Box Score,,Brooklyn Nets,L,,106,117,24,25,L 1,18206.0,2:10,,,5194,5733,1176,,,,12402,2544
50,Mon Jan 23 2023,9:00p,,Box Score,,Charlotte Hornets,W,,120,102,25,25,W 1,18206.0,2:15,,,6000,5100,1250,,,,12240,3000
51,Wed Jan 25 2023,10:00p,,Box Score,@,Portland Trail Blazers,L,,124,134,25,26,L 1,18154.0,2:04,,,6324,6834,1275,,,,16616,3100
52,Sat Jan 28 2023,9:00p,,Box Score,,Dallas Mavericks,W,,108,100,26,26,W 1,18206.0,2:06,,,5616,5200,1352,,,,10800,2808
53,Wed Feb 1 2023,9:00p,,Box Score,,Toronto Raptors,W,,131,128,27,26,W 2,18206.0,2:18,,,6943,6784,1431,,,,16768,3537
54,Fri Feb 3 2023,9:00p,,Box Score,,Atlanta Hawks,L,,108,115,27,27,L 1,18206.0,2:09,,,5832,6210,1458,,,,12420,2916
55,Mon Feb 6 2023,9:00p,,Box Score,,Dallas Mavericks,L,,111,124,27,28,L 2,18206.0,2:16,,,6105,6820,1485,,,,13764,2997
56,Wed Feb 8 2023,9:00p,,Box Score,,Minnesota Timberwolves,L,,118,143,27,29,L 3,18206.0,1:57,,,6608,8008,1512,,,,16874,3186
57,Fri Feb 10 2023,7:30p,,Box Score,@,Toronto Raptors,W,,122,116,28,29,W 1,19800.0,2:19,,,6954,6612,1596,,,,14152,3416
58,Sat Feb 11 2023,7:30p,,Box Score,@,New York Knicks,L,,120,126,28,30,L 1,19339.0,2:16,,,6960,7308,1624,,,,15120,3360
59,Mon Feb 13 2023,7:00p,,Box Score,@,Indiana Pacers,W,,123,117,29,30,W 1,15004.0,2:17,,,7257,6903,1711,,,,14391,3567
60,Wed Feb 15 2023,8:00p,,Box Score,@,Memphis Grizzlies,L,,111,117,29,31,L 1,16748.0,2:13,,,6660,7020,1740,,,,12987,3219
61,Thu Feb 23 2023,9:00p,,Box Score,,Oklahoma City Thunder,W,OT,120,119,30,31,W 1,18206.0,2:29,,,7320,7259,1830,,,,14280,3600
62,Sat Feb 25 2023,9:00p,,Box Score,,San Antonio Spurs,W,,118,102,31,31,W 2,18206.0,2:07,,,7316,6324,1922,,,,12036,3658
63,Tue Feb 28 2023,9:00p,,Box Score,,San Antonio Spurs,L,,94,102,31,32,L 1,18206.0,2:14,,,5922,6426,1953,,,,9588,2914
64,Fri Mar 3 2023,8:00p,,Box Score,@,Oklahoma City Thunder,L,,103,130,31,33,L 2,16538.0,2:03,,,6592,8320,1984,,,,13390,3193
65,Sun Mar 5 2023,7:00p,,Box Score,@,Oklahoma City Thunder,L,,119,129,31,34,L 3,14778.0,2:10,,,7735,8385,2015,,,,15351,3689
66,Tue Mar 7 2023,8:30p,,Box Score,@,Dallas Mavericks,L,,116,120,31,35,L 4,20277.0,2:17,,,7656,7920,2046,,,,13920,3596
67,Thu Mar 9 2023,7:00p,,Box Score,@,Orlando Magic,W,,131,124,32,35,W 1,16552.0,2:22,,,8777,8308,2144,,,,16244,4192
68,Sat Mar 11 2023,7:00p,,Box Score,@,Charlotte Hornets,W,,119,111,33,35,W 2,17221.0,1:58,,,8092,7548,2244,,,,13209,3927
69,Mon Mar 13 2023,7:30p,,Box Score,@,Miami Heat,L,,115,119,33,36,L 1,19721.0,2:14,,,7935,8211,2277,,,,13685,3795
70,Sat Mar 18 2023,9:00p,,Box Score,,Boston Celtics,W,,118,117,34,36,W 1,18206.0,2:11,,,8260,8190,2380,,,,13806,4012
71,Mon Mar 20 2023,9:00p,,Box Score,,Sacramento Kings,W,,128,120,35,36,W 2,18206.0,2:14,,,9088,8520,2485,,,,15360,4480
72,Wed Mar 22 2023,9:00p,,Box Score,,Portland Trail Blazers,L,,115,127,35,37,L 1,,2:16,,,8280,9144,2520,,,,14605,4025
73,Fri Mar 24 2023,9:00p,,Box Score,,Milwaukee Bucks,L,,116,144,35,38,L 2,18206.0,2:09,,,8468,10512,2555,,,,16704,4060
74,Sat Mar 25 2023,10:00p,,Box Score,@,Sacramento Kings,L,,113,121,35,39,L 3,18151.0,2:07,,,8362,8954,2590,,,,13673,3955
75,Mon Mar 27 2023,9:00p,,Box Score,,Phoenix Suns,L,,103,117,35,40,L 4,18206.0,2:07,,,7725,8775,2625,,,,12051,3605
76,Wed Mar 29 2023,8:00p,,Box Score,@,San Antonio Spurs,W,,128,117,36,40,W 1,18354.0,,,,9728,8892,2736,,,,14976,4608
77,Fri Mar 31 2023,7:30p,,Box Score,@,Boston Celtics,L,,114,122,36,41,L 1,19156.0,2:05,,,8778,9394,2772,,,,13908,4104
78,Sun Apr 2 2023,3:30p,,Box Score,@,Brooklyn Nets,L,,110,111,36,42,L 2,17732.0,2:18,,,8580,8658,2808,,,,12210,3960
79,Tue Apr 4 2023,9:00p,,Box Score,,Los Angeles Lakers,L,OT,133,135,36,43,L 3,18206.0,2:31,,,10507,10665,2844,,,,17955,4788
80,Thu Apr 6 2023,9:00p,,Box Score,,Oklahoma City Thunder,L,,98,114,36,44,L 4,18206.0,2:06,,,7840,9120,2880,,,,11172,3528
81,Sat Apr 8 2023,3:30p,,Box Score,,Denver Nuggets,W,,118,114,37,44,W 1,18206.0,2:16,,,9558,9234,2997,,,,13452,4366
82,Sun Apr 9 2023,3:30p,,Box Score,@,Los Angeles Lakers,L,,117,128,37,45,L 1,18997.0,2:02,,,9594,10496,3034,,,,14976,4329
