G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,G_x_Unnamed: 3,G_x_Tm,G_x_Opp,G_x_W,Unnamed: 3_x_Tm,Unnamed: 3_x_Opp,Unnamed: 3_x_W,Tm_x_Opp,Tm_x_W
1,Wed Oct 19 2022,7:30p,,Box Score,@,Brooklyn Nets,W,,130,108,1,0,W 1,18003,2:14,,,130,108,1,,,,14040,130
2,Fri Oct 21 2022,7:00p,,Box Score,@,Charlotte Hornets,W,,124,112,2,0,W 2,19287,2:15,,,248,224,4,,,,13888,248
3,Sun Oct 23 2022,7:00p,,Box Score,,Utah Jazz,L,OT,121,122,2,1,L 1,18665,2:31,,,363,366,6,,,,14762,242
4,Tue Oct 25 2022,7:30p,,Box Score,,Dallas Mavericks,W,,113,111,3,1,W 1,14020,2:17,,,452,444,12,,,,12543,339
5,Fri Oct 28 2022,10:00p,,Box Score,@,Phoenix Suns,L,,111,124,3,2,L 1,17071,2:13,,,555,620,15,,,,13764,333
6,Sun Oct 30 2022,3:00p,,Box Score,@,Los Angeles Clippers,W,,112,91,4,2,W 1,18142,1:59,,,672,546,24,,,,10192,448
7,Wed Nov 2 2022,10:30p,,Box Score,@,Los Angeles Lakers,L,OT,117,120,4,3,L 1,18997,2:20,,,819,840,28,,,,14040,468
8,Fri Nov 4 2022,8:30p,,Box Score,,Golden State Warriors,W,,114,105,5,3,W 1,18451,2:15,,,912,840,40,,,,11970,570
9,Sat Nov 5 2022,7:30p,,Box Score,@,Atlanta Hawks,L,OT,121,124,5,4,L 1,17654,2:32,,,1089,1116,45,,,,15004,605
10,Mon Nov 7 2022,7:45p,,Box Score,@,Indiana Pacers,L,,122,129,5,5,L 2,14052,2:12,,,1220,1290,50,,,,15738,610
11,Wed Nov 9 2022,8:00p,,Box Score,@,Chicago Bulls,W,,115,111,6,5,W 1,19621,2:19,,,1265,1221,66,,,,12765,690
12,Thu Nov 10 2022,8:00p,,Box Score,,Portland Trail Blazers,L,,95,106,6,6,L 1,14289,2:10,,,1140,1272,72,,,,10070,570
13,Sat Nov 12 2022,8:30p,,Box Score,,Houston Rockets,W,,119,106,7,6,W 1,15367,2:14,,,1547,1378,91,,,,12614,833
14,Tue Nov 15 2022,7:30p,,Box Score,,Memphis Grizzlies,W,,113,102,8,6,W 2,14032,2:13,,,1582,1428,112,,,,11526,904
15,Wed Nov 16 2022,8:00p,,Box Score,,Chicago Bulls,W,,124,110,9,6,W 3,14658,2:12,,,1860,1650,135,,,,13640,1116
