G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,G_x_Unnamed: 3,G_x_Tm,G_x_Opp,G_x_W,Unnamed: 3_x_Tm,Unnamed: 3_x_Opp,Unnamed: 3_x_W,Tm_x_Opp,Tm_x_W
1,Wed Oct 25 2023,8:00p,,Box Score,,Oklahoma City Thunder,L,,104,124,0,1,L 1,21369,2:05,,,104,124,0,,,,12896,0
2,Fri Oct 27 2023,8:00p,,Box Score,,Toronto Raptors,W,OT,104,103,1,1,W 1,19555,2:45,,,208,206,2,,,,10712,104
3,Sat Oct 28 2023,7:00p,,Box Score,@,Detroit Pistons,L,,102,118,1,2,L 1,20062,2:10,,,306,354,3,,,,12036,102
4,Mon Oct 30 2023,7:00p,,Box Score,@,Indiana Pacers,W,,112,105,2,2,W 1,15021,2:26,,,448,420,8,,,,11760,224
5,Wed Nov 1 2023,8:30p,,Box Score,@,Dallas Mavericks,L,,105,114,2,3,L 1,20103,2:07,,,525,570,10,,,,11970,210
6,Fri Nov 3 2023,8:00p,,Box Score,,Brooklyn Nets,L,,107,109,2,4,L 2,20645,2:03,In-Season Tournament,,642,654,12,,,,11663,214
7,Sat Nov 4 2023,9:00p,,Box Score,@,Denver Nuggets,L,,101,123,2,5,L 3,19610,2:08,,,707,861,14,,,,12423,202
8,Mon Nov 6 2023,8:00p,,Box Score,,Utah Jazz,W,,130,113,3,5,W 1,18031,2:06,,,1040,904,24,,,,14690,390
9,Wed Nov 8 2023,8:00p,,Box Score,,Phoenix Suns,L,OT,115,116,3,6,L 1,18220,2:36,,,1035,1044,27,,,,13340,345
10,Sun Nov 12 2023,7:00p,,Box Score,,Detroit Pistons,W,,119,108,4,6,W 1,19088,2:12,,,1190,1080,40,,,,12852,476
11,Mon Nov 13 2023,8:00p,,Box Score,@,Milwaukee Bucks,L,,109,118,4,7,L 1,17865,2:16,,,1199,1298,44,,,,12862,436
12,Wed Nov 15 2023,8:00p,,Box Score,,Orlando Magic,L,,94,96,4,8,L 2,19092,2:20,,,1128,1152,48,,,,9024,376
13,Fri Nov 17 2023,8:00p,,Box Score,,Orlando Magic,L,,97,103,4,9,L 3,20235,2:17,In-Season Tournament,,1261,1339,52,,,,9991,388
14,Sat Nov 18 2023,8:00p,,Box Score,,Miami Heat,W,,102,97,5,9,W 1,18063,2:18,,,1428,1358,70,,,,9894,510
15,Mon Nov 20 2023,8:00p,,Box Score,,Miami Heat,L,,100,118,5,10,L 1,19258,2:09,,,1500,1770,75,,,,11800,500
16,Wed Nov 22 2023,8:00p,,Box Score,@,Oklahoma City Thunder,L,,102,116,5,11,L 2,18203,2:14,,,1632,1856,80,,,,11832,510
17,Fri Nov 24 2023,7:30p,,Box Score,@,Toronto Raptors,L,,108,121,5,12,L 3,19800,2:12,In-Season Tournament,,1836,2057,85,,,,13068,540
18,Sun Nov 26 2023,7:30p,,Box Score,@,Brooklyn Nets,L,,109,118,5,13,L 4,16687,2:03,,,1962,2124,90,,,,12862,545
19,Tue Nov 28 2023,7:30p,,Box Score,@,Boston Celtics,L,,97,124,5,14,L 5,19156,2:01,In-Season Tournament,,1843,2356,95,,,,12028,485
20,Thu Nov 30 2023,8:00p,,Box Score,,Milwaukee Bucks,W,OT,120,113,6,14,W 1,19838,2:36,,,2400,2260,120,,,,13560,720
21,Sat Dec 2 2023,8:00p,,Box Score,,New Orleans Pelicans,W,,124,118,7,14,W 2,20511,2:15,,,2604,2478,147,,,,14632,868
22,Wed Dec 6 2023,8:00p,,Box Score,,Charlotte Hornets,W,,111,100,8,14,W 3,17689,2:17,,,2442,2200,176,,,,11100,888
23,Fri Dec 8 2023,8:30p,,Box Score,@,San Antonio Spurs,W,,121,112,9,14,W 4,18074,2:12,,,2783,2576,207,,,,13552,1089
24,Mon Dec 11 2023,8:00p,,Box Score,@,Milwaukee Bucks,L,OT,129,133,9,15,L 1,17440,2:41,,,3096,3192,216,,,,17157,1161
25,Tue Dec 12 2023,8:00p,,Box Score,,Denver Nuggets,L,,106,114,9,16,L 2,20775,2:20,,,2650,2850,225,,,,12084,954
26,Thu Dec 14 2023,7:30p,,Box Score,@,Miami Heat,W,,124,116,10,16,W 1,19653,2:19,,,3224,3016,260,,,,14384,1240
27,Sat Dec 16 2023,8:00p,,Box Score,@,Miami Heat,L,,116,118,10,17,L 1,19815,2:09,,,3132,3186,270,,,,13688,1160
28,Mon Dec 18 2023,7:00p,,Box Score,@,Philadelphia 76ers,W,,108,104,11,17,W 1,19773,2:09,,,3024,2912,308,,,,11232,1188
29,Wed Dec 20 2023,8:00p,,Box Score,,Los Angeles Lakers,W,,124,108,12,17,W 2,21234,2:00,,,3596,3132,348,,,,13392,1488
30,Thu Dec 21 2023,8:00p,,Box Score,,San Antonio Spurs,W,,114,95,13,17,W 3,20697,2:02,,,3420,2850,390,,,,10830,1482
31,Sat Dec 23 2023,8:00p,,Box Score,,Cleveland Cavaliers,L,,95,109,13,18,L 1,19583,2:07,,,2945,3379,403,,,,10355,1235
32,Tue Dec 26 2023,8:00p,,Box Score,,Atlanta Hawks,W,,118,113,14,18,W 1,21420,2:18,,,3776,3616,448,,,,13334,1652
33,Thu Dec 28 2023,8:00p,,Box Score,,Indiana Pacers,L,,104,120,14,19,L 1,21568,2:13,,,3432,3960,462,,,,12480,1456
34,Sat Dec 30 2023,8:00p,,Box Score,,Philadelphia 76ers,W,,105,92,15,19,W 1,21648,2:10,,,3570,3128,510,,,,9660,1575
35,Tue Jan 2 2024,7:00p,,Box Score,@,Philadelphia 76ers,L,,97,110,15,20,L 1,19772,2:17,,,3395,3850,525,,,,10670,1455
36,Wed Jan 3 2024,8:30p,,Box Score,@,New York Knicks,L,,100,116,15,21,L 2,19812,2:13,,,3600,4176,540,,,,11600,1500
37,Fri Jan 5 2024,8:00p,,Box Score,,Charlotte Hornets,W,,104,91,16,21,W 1,21345,2:06,,,3848,3367,592,,,,9464,1664
38,Mon Jan 8 2024,7:00p,,Box Score,@,Charlotte Hornets,W,OT,119,112,17,21,W 2,14418,2:18,,,4522,4256,646,,,,13328,2023
39,Wed Jan 10 2024,8:00p,,Box Score,,Houston Rockets,W,OT,124,119,18,21,W 3,21149,2:36,,,4836,4641,702,,,,14756,2232
40,Fri Jan 12 2024,8:00p,,Box Score,,Golden State Warriors,L,,131,140,18,22,L 1,21153,2:19,,,5240,5600,720,,,,18340,2358
41,Sat Jan 13 2024,8:30p,,Box Score,@,San Antonio Spurs,W,,122,116,19,22,W 1,18354,2:08,,,5002,4756,779,,,,14152,2318
42,Mon Jan 15 2024,7:00p,,Box Score,@,Cleveland Cavaliers,L,,91,109,19,23,L 1,19432,2:10,,,3822,4578,798,,,,9919,1729
43,Thu Jan 18 2024,7:30p,,Box Score,@,Toronto Raptors,W,,116,110,20,23,W 1,19312,2:13,,,4988,4730,860,,,,12760,2320
44,Sat Jan 20 2024,8:00p,,Box Score,,Memphis Grizzlies,W,,125,96,21,23,W 2,21441,2:07,,,5500,4224,924,,,,12000,2625
45,Mon Jan 22 2024,9:00p,,Box Score,@,Phoenix Suns,L,,113,115,21,24,L 1,17071,2:11,,,5085,5175,945,,,,12995,2373
46,Thu Jan 25 2024,10:30p,,Box Score,@,Los Angeles Lakers,L,,132,141,21,25,L 2,18997,2:15,,,6072,6486,966,,,,18612,2772
47,Sun Jan 28 2024,9:00p,,Box Score,@,Portland Trail Blazers,W,,104,96,22,25,W 1,17899,2:11,,,4888,4512,1034,,,,9984,2288
48,Tue Jan 30 2024,8:00p,,Box Score,,Toronto Raptors,L,,107,118,22,26,L 1,21259,2:16,,,5136,5664,1056,,,,12626,2354
49,Wed Jan 31 2024,7:00p,,Box Score,@,Charlotte Hornets,W,,117,110,23,26,W 1,13712,2:09,,,5733,5390,1127,,,,12870,2691
50,Sat Feb 3 2024,8:00p,,Box Score,,Sacramento Kings,L,,115,123,23,27,L 1,21579,2:14,,,5750,6150,1150,,,,14145,2645
51,Tue Feb 6 2024,8:00p,,Box Score,,Minnesota Timberwolves,W,OT,129,123,24,27,W 1,20949,2:40,,,6579,6273,1224,,,,15867,3096
52,Thu Feb 8 2024,8:00p,,Box Score,@,Memphis Grizzlies,W,,118,110,25,27,W 2,16285,2:13,,,6136,5720,1300,,,,12980,2950
53,Sat Feb 10 2024,7:00p,,Box Score,@,Orlando Magic,L,OT,108,114,25,28,L 1,19459,2:21,,,5724,6042,1325,,,,12312,2700
