G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,G_x_Unnamed: 3,G_x_Tm,G_x_Opp,G_x_W,Unnamed: 3_x_Tm,Unnamed: 3_x_Opp,Unnamed: 3_x_W,Tm_x_Opp,Tm_x_W
1,Wed Oct 25 2023,7:00p,,Box Score,@,New York Knicks,W,,108,104,1,0,W 1,19812,2:39,,,108,104,1,,,,11232,108
2,Fri Oct 27 2023,7:30p,,Box Score,,Miami Heat,W,,119,111,2,0,W 2,19156,2:20,,,238,222,4,,,,13209,238
3,Mon Oct 30 2023,7:00p,,Box Score,@,Washington Wizards,W,,126,107,3,0,W 3,17898,2:06,,,378,321,9,,,,13482,378
4,Wed Nov 1 2023,7:30p,,Box Score,,Indiana Pacers,W,,155,104,4,0,W 4,19156,2:03,,,620,416,16,,,,16120,620
5,Sat Nov 4 2023,8:00p,,Box Score,@,Brooklyn Nets,W,,124,114,5,0,W 5,17983,2:10,,,620,570,25,,,,14136,620
6,Mon Nov 6 2023,8:00p,,Box Score,@,Minnesota Timberwolves,L,OT,109,114,5,1,L 1,18024,2:40,,,654,684,30,,,,12426,545
7,Wed Nov 8 2023,7:00p,,Box Score,@,Philadelphia 76ers,L,,103,106,5,2,L 2,19953,2:11,,,721,742,35,,,,10918,515
8,Fri Nov 10 2023,7:30p,,Box Score,,Brooklyn Nets,W,,121,107,6,2,W 1,19156,2:11,In-Season Tournament,,968,856,48,,,,12947,726
9,Sat Nov 11 2023,7:00p,,Box Score,,Toronto Raptors,W,,117,94,7,2,W 2,19156,2:04,,,1053,846,63,,,,10998,819
10,Mon Nov 13 2023,7:30p,,Box Score,,New York Knicks,W,,114,98,8,2,W 3,19156,2:11,,,1140,980,80,,,,11172,912
11,Wed Nov 15 2023,7:30p,,Box Score,@,Philadelphia 76ers,W,,117,107,9,2,W 4,19773,2:10,,,1287,1177,99,,,,12519,1053
12,Fri Nov 17 2023,7:30p,,Box Score,@,Toronto Raptors,W,,108,105,10,2,W 5,19800,2:02,In-Season Tournament,,1296,1260,120,,,,11340,1080
13,Sun Nov 19 2023,8:00p,,Box Score,@,Memphis Grizzlies,W,,102,100,11,2,W 6,17798,2:08,,,1326,1300,143,,,,10200,1122
14,Mon Nov 20 2023,7:00p,,Box Score,@,Charlotte Hornets,L,OT,118,121,11,3,L 1,19134,2:19,,,1652,1694,154,,,,14278,1298
15,Wed Nov 22 2023,7:30p,,Box Score,,Milwaukee Bucks,W,,119,116,12,3,W 1,19156,2:13,,,1785,1740,180,,,,13804,1428
16,Fri Nov 24 2023,2:30p,,Box Score,@,Orlando Magic,L,,96,113,12,4,L 1,18846,2:17,In-Season Tournament,,1536,1808,192,,,,10848,1152
17,Sun Nov 26 2023,6:00p,,Box Score,,Atlanta Hawks,W,,113,103,13,4,W 1,19156,2:08,,,1921,1751,221,,,,11639,1469
18,Tue Nov 28 2023,7:30p,,Box Score,,Chicago Bulls,W,,124,97,14,4,W 2,19156,2:01,In-Season Tournament,,2232,1746,252,,,,12028,1736
19,Fri Dec 1 2023,7:30p,,Box Score,,Philadelphia 76ers,W,,125,119,15,4,W 3,19156,2:25,,,2375,2261,285,,,,14875,1875
20,Mon Dec 4 2023,7:30p,,Box Score,@,Indiana Pacers,L,,112,122,15,5,L 1,16693,2:14,In-Season Tournament,,2240,2440,300,,,,13664,1680
21,Fri Dec 8 2023,7:30p,,Box Score,,New York Knicks,W,,133,123,16,5,W 1,19156,2:16,,,2793,2583,336,,,,16359,2128
22,Tue Dec 12 2023,7:30p,,Box Score,,Cleveland Cavaliers,W,,120,113,17,5,W 2,19156,2:02,,,2640,2486,374,,,,13560,2040
23,Thu Dec 14 2023,7:30p,,Box Score,,Cleveland Cavaliers,W,,116,107,18,5,W 3,19156,2:07,,,2668,2461,414,,,,12412,2088
24,Fri Dec 15 2023,7:30p,,Box Score,,Orlando Magic,W,,128,111,19,5,W 4,19156,2:06,,,3072,2664,456,,,,14208,2432
25,Sun Dec 17 2023,3:00p,,Box Score,,Orlando Magic,W,,114,97,20,5,W 5,19156,2:10,,,2850,2425,500,,,,11058,2280
26,Tue Dec 19 2023,10:00p,,Box Score,@,Golden State Warriors,L,OT,126,132,20,6,L 1,18064,2:25,,,3276,3432,520,,,,16632,2520
27,Wed Dec 20 2023,10:00p,,Box Score,@,Sacramento Kings,W,,144,119,21,6,W 1,17874,2:11,,,3888,3213,567,,,,17136,3024
28,Sat Dec 23 2023,3:30p,,Box Score,@,Los Angeles Clippers,W,,145,108,22,6,W 2,19370,2:09,,,4060,3024,616,,,,15660,3190
29,Mon Dec 25 2023,5:00p,,Box Score,@,Los Angeles Lakers,W,,126,115,23,6,W 3,18997,2:17,,,3654,3335,667,,,,14490,2898
30,Thu Dec 28 2023,7:30p,,Box Score,,Detroit Pistons,W,OT,128,122,24,6,W 4,19156,2:31,,,3840,3660,720,,,,15616,3072
31,Fri Dec 29 2023,7:30p,,Box Score,,Toronto Raptors,W,,120,118,25,6,W 5,19156,2:14,,,3720,3658,775,,,,14160,3000
32,Sun Dec 31 2023,7:00p,,Box Score,@,San Antonio Spurs,W,,134,101,26,6,W 6,18886,1:57,,,4288,3232,832,,,,13534,3484
33,Tue Jan 2 2024,8:00p,,Box Score,@,Oklahoma City Thunder,L,,123,127,26,7,L 1,18203,2:16,,,4059,4191,858,,,,15621,3198
34,Fri Jan 5 2024,7:00p,,Box Score,,Utah Jazz,W,,126,97,27,7,W 1,19156,2:10,,,4284,3298,918,,,,12222,3402
