G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,G_x_Unnamed: 3,G_x_Tm,G_x_Opp,G_x_W,Unnamed: 3_x_Tm,Unnamed: 3_x_Opp,Unnamed: 3_x_W,Tm_x_Opp,Tm_x_W
1,Tue Oct 24 2023,7:30p,,Box Score,@,Denver Nuggets,L,,107,119,0,1,L 1,19842,2:17,,,107,119,0,,,,12733,0
2,Thu Oct 26 2023,10:00p,,Box Score,,Phoenix Suns,W,,100,95,1,1,W 1,18997,2:26,,,200,190,2,,,,9500,100
3,Sun Oct 29 2023,9:00p,,Box Score,@,Sacramento Kings,L,OT,127,132,1,2,L 1,18198,2:38,,,381,396,3,,,,16764,127
4,Mon Oct 30 2023,10:30p,,Box Score,,Orlando Magic,W,,106,103,2,2,W 1,18997,2:18,,,424,412,8,,,,10918,212
5,Wed Nov 1 2023,10:00p,,Box Score,,Los Angeles Clippers,W,OT,130,125,3,2,W 2,18997,2:46,,,650,625,15,,,,16250,390
6,Sat Nov 4 2023,7:00p,,Box Score,@,Orlando Magic,L,,101,120,3,3,L 1,18846,2:21,,,606,720,18,,,,12120,303
7,Mon Nov 6 2023,7:30p,,Box Score,@,Miami Heat,L,,107,108,3,4,L 2,19725,2:10,,,749,756,21,,,,11556,321
8,Wed Nov 8 2023,8:00p,,Box Score,@,Houston Rockets,L,,94,128,3,5,L 3,18055,2:11,,,752,1024,24,,,,12032,282
9,Fri Nov 10 2023,10:00p,,Box Score,@,Phoenix Suns,W,,122,119,4,5,W 1,17071,2:33,In-Season Tournament,,1098,1071,36,,,,14518,488
10,Sun Nov 12 2023,10:00p,,Box Score,,Portland Trail Blazers,W,,116,110,5,5,W 2,18997,2:11,,,1160,1100,50,,,,12760,580
11,Tue Nov 14 2023,10:30p,,Box Score,,Memphis Grizzlies,W,,134,107,6,5,W 3,18430,2:14,In-Season Tournament,,1474,1177,66,,,,14338,804
12,Wed Nov 15 2023,10:00p,,Box Score,,Sacramento Kings,L,,110,125,6,6,L 1,18687,2:13,,,1320,1500,72,,,,13750,660
13,Fri Nov 17 2023,10:00p,,Box Score,@,Portland Trail Blazers,W,,107,95,7,6,W 1,18570,2:08,In-Season Tournament,,1391,1235,91,,,,10165,749
14,Sun Nov 19 2023,9:30p,,Box Score,,Houston Rockets,W,,105,104,8,6,W 2,18997,2:21,,,1470,1456,112,,,,10920,840
15,Tue Nov 21 2023,10:00p,,Box Score,,Utah Jazz,W,,131,99,9,6,W 3,18997,2:09,In-Season Tournament,,1965,1485,135,,,,12969,1179
16,Wed Nov 22 2023,10:30p,,Box Score,,Dallas Mavericks,L,,101,104,9,7,L 1,18997,2:12,,,1616,1664,144,,,,10504,909
17,Sat Nov 25 2023,7:30p,,Box Score,@,Cleveland Cavaliers,W,,121,115,10,7,W 1,19432,2:12,,,2057,1955,170,,,,13915,1210
18,Mon Nov 27 2023,7:00p,,Box Score,@,Philadelphia 76ers,L,,94,138,10,8,L 1,19907,2:11,,,1692,2484,180,,,,12972,940
19,Wed Nov 29 2023,7:00p,,Box Score,@,Detroit Pistons,W,,133,107,11,8,W 1,20062,2:13,,,2527,2033,209,,,,14231,1463
20,Thu Nov 30 2023,8:00p,,Box Score,@,Oklahoma City Thunder,L,,110,133,11,9,L 1,17401,2:07,,,2200,2660,220,,,,14630,1210
21,Sat Dec 2 2023,10:30p,,Box Score,,Houston Rockets,W,,107,97,12,9,W 1,18997,2:17,,,2247,2037,252,,,,10379,1284
22,Tue Dec 5 2023,10:00p,,Box Score,,Phoenix Suns,W,,106,103,13,9,W 2,18664,2:28,In-Season Tournament,,2332,2266,286,,,,10918,1378
23,Thu Dec 7 2023,9:00p,,Box Score,,New Orleans Pelicans,W,,133,89,14,9,W 3,18017,2:12,In-Season Tournament,,3059,2047,322,,,,11837,1862
24,Tue Dec 12 2023,7:30p,,Box Score,@,Dallas Mavericks,L,,125,127,14,10,L 1,20377,2:21,,,3000,3048,336,,,,15875,1750
25,Wed Dec 13 2023,8:00p,,Box Score,@,San Antonio Spurs,W,,122,119,15,10,W 1,18354,2:14,,,3050,2975,375,,,,14518,1830
26,Fri Dec 15 2023,7:30p,,Box Score,@,San Antonio Spurs,L,,115,129,15,11,L 1,18354,2:14,,,2990,3354,390,,,,14835,1725
27,Mon Dec 18 2023,10:30p,,Box Score,,New York Knicks,L,,109,114,15,12,L 2,18997,2:16,,,2943,3078,405,,,,12426,1635
28,Wed Dec 20 2023,8:00p,,Box Score,@,Chicago Bulls,L,,108,124,15,13,L 3,21234,2:00,,,3024,3472,420,,,,13392,1620
29,Thu Dec 21 2023,9:00p,,Box Score,@,Minnesota Timberwolves,L,,111,118,15,14,L 4,18024,2:17,,,3219,3422,435,,,,13098,1665
30,Sat Dec 23 2023,8:00p,,Box Score,@,Oklahoma City Thunder,W,,129,120,16,14,W 1,18203,2:08,,,3870,3600,480,,,,15480,2064
31,Mon Dec 25 2023,5:00p,,Box Score,,Boston Celtics,L,,115,126,16,15,L 1,18997,2:17,,,3565,3906,496,,,,14490,1840
32,Thu Dec 28 2023,10:30p,,Box Score,,Charlotte Hornets,W,,133,112,17,15,W 1,18997,2:03,,,4256,3584,544,,,,14896,2261
33,Sat Dec 30 2023,8:00p,,Box Score,@,Minnesota Timberwolves,L,,106,108,17,16,L 1,18024,2:29,,,3498,3564,561,,,,11448,1802
34,Sun Dec 31 2023,7:00p,,Box Score,@,New Orleans Pelicans,L,,109,129,17,17,L 2,18434,2:07,,,3706,4386,578,,,,14061,1853
35,Wed Jan 3 2024,10:00p,,Box Score,,Miami Heat,L,,96,110,17,18,L 3,18997,2:14,,,3360,3850,595,,,,10560,1632
36,Fri Jan 5 2024,10:00p,,Box Score,,Memphis Grizzlies,L,,113,127,17,19,L 4,18997,2:15,,,4068,4572,612,,,,14351,1921
37,Sun Jan 7 2024,9:30p,,Box Score,,Los Angeles Clippers,W,,106,103,18,19,W 1,18997,2:16,,,3922,3811,666,,,,10918,1908
38,Tue Jan 9 2024,10:30p,,Box Score,,Toronto Raptors,W,,132,131,19,19,W 2,18997,2:28,,,5016,4978,722,,,,17292,2508
39,Thu Jan 11 2024,10:00p,,Box Score,,Phoenix Suns,L,,109,127,19,20,L 1,18416,2:19,,,4251,4953,741,,,,13843,2071
40,Sat Jan 13 2024,9:30p,,Box Score,@,Utah Jazz,L,,125,132,19,21,L 2,18206,2:18,,,5000,5280,760,,,,16500,2375
41,Mon Jan 15 2024,10:30p,,Box Score,,Oklahoma City Thunder,W,,112,105,20,21,W 1,18997,2:05,,,4592,4305,820,,,,11760,2240
42,Wed Jan 17 2024,8:30p,,Box Score,,Dallas Mavericks,W,,127,110,21,21,W 2,18338,2:17,,,5334,4620,882,,,,13970,2667
43,Fri Jan 19 2024,10:30p,,Box Score,,Brooklyn Nets,L,,112,130,21,22,L 1,18997,2:11,,,4816,5590,903,,,,14560,2352
44,Sun Jan 21 2024,10:00p,,Box Score,,Portland Trail Blazers,W,,134,110,22,22,W 1,18997,2:04,,,5896,4840,968,,,,14740,2948
45,Tue Jan 23 2024,10:00p,,Box Score,@,Los Angeles Clippers,L,,116,127,22,23,L 1,19370,2:10,,,5220,5715,990,,,,14732,2552
46,Thu Jan 25 2024,10:30p,,Box Score,,Chicago Bulls,W,,141,132,23,23,W 1,18997,2:15,,,6486,6072,1058,,,,18612,3243
47,Sat Jan 27 2024,8:30p,,Box Score,@,Golden State Warriors,W,2OT,145,144,24,23,W 2,18064,3:17,,,6815,6768,1128,,,,20880,3480
48,Mon Jan 29 2024,8:00p,,Box Score,@,Houston Rockets,L,,119,135,24,24,L 1,18055,2:12,,,5712,6480,1152,,,,16065,2856
49,Tue Jan 30 2024,7:30p,,Box Score,@,Atlanta Hawks,L,,122,138,24,25,L 2,17871,2:06,,,5978,6762,1176,,,,16836,2928
50,Thu Feb 1 2024,7:30p,,Box Score,@,Boston Celtics,W,,114,105,25,25,W 1,19156,2:13,,,5700,5250,1250,,,,11970,2850
51,Sat Feb 3 2024,8:30p,,Box Score,@,New York Knicks,W,,113,105,26,25,W 2,19812,2:18,,,5763,5355,1326,,,,11865,2938
52,Mon Feb 5 2024,7:00p,,Box Score,@,Charlotte Hornets,W,,124,118,27,25,W 3,19375,2:02,,,6448,6136,1404,,,,14632,3348
53,Thu Feb 8 2024,10:00p,,Box Score,,Denver Nuggets,L,,106,114,27,26,L 1,18997,2:12,,,5618,6042,1431,,,,12084,2862
54,Fri Feb 9 2024,10:30p,,Box Score,,New Orleans Pelicans,W,,139,122,28,26,W 1,18997,2:13,,,7506,6588,1512,,,,16958,3892
55,Tue Feb 13 2024,10:30p,,Box Score,,Detroit Pistons,W,,125,111,29,26,W 2,18997,2:07,,,6875,6105,1595,,,,13875,3625
56,Wed Feb 14 2024,9:00p,,Box Score,@,Utah Jazz,W,,138,122,30,26,W 3,18206,2:06,,,7728,6832,1680,,,,16836,4140
57,Thu Feb 22 2024,10:00p,,Box Score,@,Golden State Warriors,L,,110,128,30,27,L 1,18064,2:15,,,6270,7296,1710,,,,14080,3300
58,Fri Feb 23 2024,10:30p,,Box Score,,San Antonio Spurs,W,,123,118,31,27,W 1,18997,2:12,,,7134,6844,1798,,,,14514,3813
59,Sun Feb 25 2024,3:30p,,Box Score,@,Phoenix Suns,L,,113,123,31,28,L 1,17071,2:20,,,6667,7257,1829,,,,13899,3503
60,Wed Feb 28 2024,10:00p,,Box Score,@,Los Angeles Clippers,W,,116,112,32,28,W 1,19370,2:16,,,6960,6720,1920,,,,12992,3712
61,Thu Feb 29 2024,10:30p,,Box Score,,Washington Wizards,W,OT,134,131,33,28,W 2,18997,2:22,,,8174,7991,2013,,,,17554,4422
62,Sat Mar 2 2024,8:30p,,Box Score,,Denver Nuggets,L,,114,124,33,29,L 1,18997,2:02,,,7068,7688,2046,,,,14136,3762
63,Mon Mar 4 2024,10:30p,,Box Score,,Oklahoma City Thunder,W,,116,104,34,29,W 1,18997,2:04,,,7308,6552,2142,,,,12064,3944
64,Wed Mar 6 2024,10:30p,,Box Score,,Sacramento Kings,L,,120,130,34,30,L 1,18498,2:16,,,7680,8320,2176,,,,15600,4080
65,Fri Mar 8 2024,10:00p,,Box Score,,Milwaukee Bucks,W,,123,122,35,30,W 1,18997,2:20,,,7995,7930,2275,,,,15006,4305
66,Sun Mar 10 2024,9:30p,,Box Score,,Minnesota Timberwolves,W,,120,109,36,30,W 2,18997,2:15,,,7920,7194,2376,,,,13080,4320
67,Wed Mar 13 2024,10:00p,,Box Score,@,Sacramento Kings,L,,107,120,36,31,L 1,18332,2:14,,,7169,8040,2412,,,,12840,3852
68,Sat Mar 16 2024,8:30p,,Box Score,,Golden State Warriors,L,,121,128,36,32,L 2,18997,2:25,,,8228,8704,2448,,,,15488,4356
69,Mon Mar 18 2024,10:30p,,Box Score,,Atlanta Hawks,W,,136,105,37,32,W 1,18997,1:57,,,9384,7245,2553,,,,14280,5032
70,Fri Mar 22 2024,10:30p,,Box Score,,Philadelphia 76ers,W,,101,94,38,32,W 2,18997,2:18,,,7070,6580,2660,,,,9494,3838
71,Sun Mar 24 2024,10:00p,,Box Score,,Indiana Pacers,W,,150,145,39,32,W 3,18997,2:20,,,10650,10295,2769,,,,21750,5850
72,Tue Mar 26 2024,7:30p,,Box Score,@,Milwaukee Bucks,W,2OT,128,124,40,32,W 4,18085,3:04,,,9216,8928,2880,,,,15872,5120
73,Wed Mar 27 2024,8:00p,,Box Score,@,Memphis Grizzlies,W,,136,124,41,32,W 5,17794,2:16,,,9928,9052,2993,,,,16864,5576
74,Fri Mar 29 2024,7:00p,,Box Score,@,Indiana Pacers,L,,90,109,41,33,L 1,17274,2:06,,,6660,8066,3034,,,,9810,3690
75,Sun Mar 31 2024,6:00p,,Box Score,@,Brooklyn Nets,W,,116,104,42,33,W 1,18162,2:08,,,8700,7800,3150,,,,12064,4872
76,Tue Apr 2 2024,7:00p,,Box Score,@,Toronto Raptors,W,,128,111,43,33,W 2,19800,2:06,,,9728,8436,3268,,,,14208,5504
77,Wed Apr 3 2024,7:00p,,Box Score,@,Washington Wizards,W,,125,120,44,33,W 3,20333,2:14,,,9625,9240,3388,,,,15000,5500
78,Sat Apr 6 2024,3:30p,,Box Score,,Cleveland Cavaliers,W,,116,97,45,33,W 4,18997,2:04,,,9048,7566,3510,,,,11252,5220
79,Sun Apr 7 2024,10:00p,,Box Score,,Minnesota Timberwolves,L,,117,127,45,34,L 1,18997,2:05,,,9243,10033,3555,,,,14859,5265
